mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.306839179992676,0.06498845325840925,0.1307300090789795,0.01706855861799343,True,,1,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9358625269565999,0.9343713496271002,0.9345236824961811,0.9294093202430947,0.9357796298806048,0.9339893018407162,0.002371581812029938,11
6.471015214920044,0.18028693142801405,0.197031831741333,0.01769384098257123,True,,1,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9363348290502291,0.9347904405157696,0.9344781932338936,0.9296589079813922,0.9387577068456626,0.9348040155253894,0.0029850809432795966,2
3.1186361789703367,0.09037441896462099,0.10613975524902344,0.018024449300260783,True,,1,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9348576916164975,0.9324568694402013,0.9294286043220416,0.9266273779931238,0.9397002197326115,0.9326141526208952,0.004500216455761255,26
5.795273351669311,0.2865640479920326,0.17736320495605468,0.008775343409228318,True,,1,5,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9356260951118698,0.933733797960284,0.9317428003414503,0.9289352578666435,0.9396490114557826,0.933937392547206,0.0036153379918504214,12
2.7767295360565187,0.195027046348582,0.0968517780303955,0.008157345077549642,True,,2,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9339233365531494,0.9312053531314584,0.9302287379818492,0.9281627845180965,0.9369930555964754,0.9321026535562058,0.003068230576744603,31
5.517665386199951,0.18905982578552333,0.19661564826965333,0.01841603536570274,True,,2,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9354660403001168,0.9326145374696737,0.9320554688201995,0.930003757144256,0.9375907193205602,0.9335461046109612,0.0026714452707812223,18
2.8324723720550535,0.08917610630686551,0.09055767059326172,0.012906097924089989,True,,2,5,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9344192256716686,0.9306726794860275,0.9293693559619014,0.9284182647156454,0.9386905047508654,0.9323140061172216,0.003785060182156578,30
5.305678987503052,0.21321015236827423,0.16326603889465333,0.012591688092783724,True,,2,5,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9348091135771408,0.932732191796208,0.9309666749034055,0.9281553487957077,0.9378084597195695,0.9328943577584063,0.0032867963997602,23
1.8628024101257323,0.13523974847460735,0.05534553527832031,0.004026172507992552,True,10,1,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9320182630964148,0.9237282662413513,0.9245588664749753,0.9205648792031824,0.9290399191666827,0.9259820388365213,0.004055543475387698,48
3.577333927154541,0.28046918195387105,0.10963473320007325,0.017506822021333943,True,10,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9319688426633119,0.924647037020397,0.9245773991373889,0.9222268333054143,0.9294981280218144,0.9265836480296652,0.0035847411685454664,41
1.8857203483581544,0.13062807326657558,0.06575045585632325,0.014654504481978676,True,10,1,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9318761793512444,0.9247029158055531,0.9240952691167221,0.9220859754699727,0.9292029438726421,0.926392656723227,0.0035957600552501455,45
3.9695021152496337,0.09547517666623549,0.10810694694519044,0.01142728358349531,True,10,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9317124741665918,0.9243120451073772,0.9242629054721898,0.9225753301811481,0.9298449413377623,0.9265415392530139,0.0035649590086919624,42
2.167875337600708,0.06005721758954716,0.06537914276123047,0.01366329342054033,True,10,2,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9310034594303171,0.923723211878875,0.924847807529877,0.9205752611551969,0.9298390488785108,0.9259977577745554,0.003891323183585988,47
3.7163312911987303,0.27845006595370214,0.10747008323669434,0.011769343289238924,True,10,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9316271116003234,0.9245156235960105,0.9245324714709318,0.9212750608396417,0.9301909128738168,0.9264282360761449,0.003872809531988258,44
1.8507127285003662,0.15137483673741517,0.05618510246276855,0.006291564786739825,True,10,2,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9307667467876719,0.9247756424656303,0.9237594348099559,0.9217559977518864,0.9300786755547401,0.9262272994739771,0.00356734867342855,46
