mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.024496078491211,0.16562914280093002,0.0130584716796875,0.0030500184384753305,0.7,0.01,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.907723065863959,0.8978196041872586,0.8972354041243598,0.8897445113846523,0.8996720425536571,0.8984389256227774,0.00574701138618864,70
1.0404461860656737,0.042056606280135286,0.01156930923461914,0.0024061518595996185,0.7,0.01,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1}",0.9092146643903316,0.8979671634917783,0.8970701545511727,0.8901731176468772,0.899412213159994,0.8987674626480306,0.0061146353444996495,69
0.9432822227478027,0.3092871569144814,0.01887035369873047,0.004502425545952746,0.7,0.01,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.9142061281337047,0.9048315493305777,0.9067217404977985,0.8985174011336531,0.9074721153395586,0.9063497868870585,0.0050353029759021535,68
0.3539769649505615,0.06212092884574398,0.020668411254882814,0.010416024956721583,0.7,0.01,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1}",0.9153778978344864,0.9044370282595023,0.9064780079072694,0.8985820778887712,0.9074653811004139,0.9064680785980886,0.005416525867432658,66
0.36015949249267576,0.05861049167377159,0.02601203918457031,0.018279104956590766,0.7,0.01,5,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.9224189055620451,0.9143875235870249,0.9147192863240183,0.9105273554614819,0.9197821641992695,0.9163670470267681,0.0042195649774025975,62
0.4619743347167969,0.09002776843141982,0.033766651153564455,0.014562012921372538,0.7,0.01,5,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1}",0.9235043299038548,0.9142711328511097,0.9146531584149518,0.9106495538426271,0.9191753811930097,0.9164507112411107,0.004445504422878569,61
1.0149115562438964,0.3524608930993684,0.030091571807861327,0.006436757974979303,0.7,0.01,5,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",0.9279231062988589,0.9194145082666906,0.9213799532752269,0.9163976478425042,0.9246650487657122,0.9219560528897986,0.004015758746469749,60
0.6448807716369629,0.16368407978864413,0.03545689582824707,0.00893449153844955,0.7,0.01,5,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1}",0.9284178722257166,0.9195462024889927,0.9214480467697008,0.9172728183380066,0.9244675110841367,0.9222304901813108,0.003890606309985873,58
0.6584808826446533,0.19946649707768116,0.02915163040161133,0.010075141259010944,0.7,0.01,7,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.7}",0.9292684091113308,0.92202677127325,0.9224318222661515,0.9195705968528096,0.9276330243720533,0.9241861247751191,0.0036538805056014353,55
0.45041828155517577,0.12248071395141913,0.029166126251220705,0.01166378556878177,0.7,0.01,7,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1}",0.9298849009344956,0.9217807922993979,0.9210832902776529,0.9203301629096627,0.9280640156773089,0.9242286324197038,0.003944279432545389,54
0.9207170963287353,0.19548044600185116,0.03343801498413086,0.005604147249285339,0.7,0.01,7,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.7}",0.9335261479018779,0.9262624674274419,0.9269352592326354,0.9237602756773031,0.9314246816037702,0.9283817663686058,0.0035683604524906435,48
0.9949448585510254,0.0800792227244214,0.04720835685729981,0.005657658660137758,0.7,0.01,7,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1}",0.9334527192470122,0.9258906909875102,0.9260465338305328,0.9243968015731182,0.9320833743701031,0.9283740240016553,0.0036593681736875948,49
0.35323758125305177,0.08931510963322661,0.014790582656860351,0.00281092507991072,0.7,0.1,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.9333263601851021,0.9269344168388893,0.9260442874472099,0.9201723291797108,0.9295416199829569,0.9272038027267738,0.0043315069903445535,52
0.19543838500976562,0.037646326541282284,0.012719202041625976,0.0018299876608340784,0.7,0.1,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1}",0.9339262849312606,0.9269101278192111,0.9274736892353311,0.9197064040088925,0.9310969486320657,0.9278226909253522,0.004791728502984215,50
0.5226163864135742,0.08594668070411215,0.015958499908447266,0.003816625296804997,0.7,0.1,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.9405866710845538,0.9347122382963429,0.933571075568335,0.9304055667465516,0.9400877190767246,0.9358726541545016,0.003912073659677346,41
